algorithm,type,size,time_us,comparisons
TernaryQuickSort,random,1200,3119.4,13930
StringMergeSort,random,1200,2179.6,9754
MSBRadixSort,random,1200,695.5,0
MSBRadixHybrid,random,1200,1487,4741
StdQuickSort,reverse,1200,1688.4,89145
StdMergeSort,reverse,1200,1523.8,9438
TernaryQuickSort,reverse,1200,2296.7,10045
StringMergeSort,reverse,1200,1830.4,4319
MSBRadixSort,reverse,1200,676.5,0
MSBRadixHybrid,reverse,1200,1168,3711
StdQuickSort,almost,1200,1708.8,87892
StdMergeSort,almost,1200,1501.8,10623
TernaryQuickSort,almost,1200,2232.9,10081
StringMergeSort,almost,1200,1752.4,4277
MSBRadixSort,almost,1200,671.4,0
MSBRadixHybrid,almost,1200,1222.4,3745
StdQuickSort,random,1300,2753.8,113141
StdMergeSort,random,1300,1712.2,16091
TernaryQuickSort,random,1300,3081,13489
StringMergeSort,random,1300,2307.1,10670
MSBRadixSort,random,1300,764.7,0
MSBRadixHybrid,random,1300,2221.5,5256
StdQuickSort,reverse,1300,1878.7,101702
StdMergeSort,reverse,1300,1596.8,10449
TernaryQuickSort,reverse,1300,2492.4,11073
StringMergeSort,reverse,1300,1958.5,4746
MSBRadixSort,reverse,1300,744.7,0
MSBRadixHybrid,reverse,1300,2082.5,4150
StdQuickSort,almost,1300,1841.6,101035
StdMergeSort,almost,1300,1613.1,11859
TernaryQuickSort,almost,1300,3222.6,11071
StringMergeSort,almost,1300,2126.5,4610
MSBRadixSort,almost,1300,738,0
MSBRadixHybrid,almost,1300,1310.8,4183
StdQuickSort,random,1400,3196.5,119599
StdMergeSort,random,1400,2019.1,17613
TernaryQuickSort,random,1400,3698.7,15482
StringMergeSort,random,1400,2494.6,11687
MSBRadixSort,random,1400,806.2,0
MSBRadixHybrid,random,1400,1770.1,5802
StdQuickSort,reverse,1400,2165.7,111779
StdMergeSort,reverse,1400,1727.6,11449
TernaryQuickSort,reverse,1400,2738.9,12062
StringMergeSort,reverse,1400,2054.4,5206
MSBRadixSort,reverse,1400,811.6,0
MSBRadixHybrid,reverse,1400,1548,4609
StdQuickSort,almost,1400,2017,110299
StdMergeSort,almost,1400,1806.4,12660
TernaryQuickSort,almost,1400,2805,12124
StringMergeSort,almost,1400,2084.9,4972
MSBRadixSort,almost,1400,833.4,0
MSBRadixHybrid,almost,1400,1524.4,4649
StdQuickSort,random,1500,3134.4,127493
StdMergeSort,random,1500,1980.3,19176
TernaryQuickSort,random,1500,3979.6,16439
StringMergeSort,random,1500,2661.4,12614
MSBRadixSort,random,1500,897,0
MSBRadixHybrid,random,1500,1994.1,6459
StdQuickSort,reverse,1500,2236,125161
StdMergeSort,reverse,1500,1904.6,12331
TernaryQuickSort,reverse,1500,2942,13035
StringMergeSort,reverse,1500,2236.1,5545
MSBRadixSort,reverse,1500,887,0
MSBRadixHybrid,reverse,1500,1570.3,5068
StdQuickSort,almost,1500,2233.4,121054
StdMergeSort,almost,1500,1896.7,13902
TernaryQuickSort,almost,1500,2904.7,13095
StringMergeSort,almost,1500,2199.5,5452
MSBRadixSort,almost,1500,883.8,0
MSBRadixHybrid,almost,1500,1581.1,5100
StdQuickSort,random,1600,3603.1,138104
StdMergeSort,random,1600,2105.5,20785
TernaryQuickSort,random,1600,4097,17529
StringMergeSort,random,1600,3069.7,13623
MSBRadixSort,random,1600,1113.2,0
MSBRadixHybrid,random,1600,2131.9,7030
StdQuickSort,reverse,1600,2350.6,127702
StdMergeSort,reverse,1600,2468.6,13286
TernaryQuickSort,reverse,1600,3250.3,14035
StringMergeSort,reverse,1600,2458.2,5925
MSBRadixSort,reverse,1600,1026.6,0
MSBRadixHybrid,reverse,1600,1703.6,5564
StdQuickSort,almost,1600,2357.3,128903
StdMergeSort,almost,1600,2038.7,15169
TernaryQuickSort,almost,1600,3144.8,14082
StringMergeSort,almost,1600,2507.7,5822
MSBRadixSort,almost,1600,1005.2,0
MSBRadixHybrid,almost,1600,1704.3,5594
StdQuickSort,random,1700,3652.1,146811
StdMergeSort,random,1700,2270.4,22318
TernaryQuickSort,random,1700,4461.2,18502
StringMergeSort,random,1700,3206.6,14528
MSBRadixSort,random,1700,1009.3,0
MSBRadixHybrid,random,1700,2511.5,7589
StdQuickSort,reverse,1700,2559.5,130049
StdMergeSort,reverse,1700,2139.5,14255
TernaryQuickSort,reverse,1700,3402.4,15084
StringMergeSort,reverse,1700,2780.5,6336
